No. of actors: 2
Average kernel executation time: 49.9633μs   NOTE: First kernel time has been disregarded
Total execution time: 7449795μs


Actor ID | Time to Reach Destination (ms)
-----------------------------------------
       0 |                          5313
       1 |                          6992


Timestep | Average Force (N)
----------------------------
       0 |           135.04
     100 |            66.30
     200 |            28.17
     300 |            19.45
     400 |            18.99
     500 |            16.77
     600 |            14.17
     700 |            11.75
     800 |             9.66
     900 |             7.91
    1000 |             6.46
    1100 |             5.27
    1200 |             4.30
    1300 |             3.52
    1400 |             2.88
    1500 |             2.38
    1600 |             1.99
    1700 |             1.72
    1800 |             1.56
    1900 |             1.47
    2000 |             1.44
    2100 |             1.42
    2200 |             1.41
    2300 |             1.41
    2400 |             1.41
    2500 |             1.41
    2600 |             1.41
    2700 |             1.42
    2800 |             1.42
    2900 |             1.42
    3000 |             1.43
    3100 |             1.43
    3200 |             1.43
    3300 |             1.44
    3400 |             1.45
    3500 |             1.45
    3600 |             1.46
    3700 |             1.47
    3800 |             1.47
    3900 |             1.47
    4000 |             1.48
    4100 |             1.48
    4200 |             1.49
    4300 |             1.49
    4400 |             1.49
    4500 |             1.49
    4600 |             1.50
    4700 |             1.50
    4800 |             1.50
    4900 |             1.51
    5000 |             1.51
    5100 |             1.51
    5200 |             1.52
    5300 |             1.52
    5400 |             1.52
    5500 |             1.53
    5600 |             1.53
    5700 |             1.53
    5800 |             1.54
    5900 |             1.54
    6000 |             1.55
    6100 |             1.55
    6200 |             1.56
    6300 |             1.57
    6400 |             1.58
    6500 |             1.58
    6600 |             1.59
    6700 |             1.61
    6800 |             1.62
    6900 |             1.64
    7000 |             1.65
    7100 |             1.68
    7200 |             1.71
    7300 |             1.75
    7400 |             1.80
    7500 |             1.87
    7600 |             1.98
    7700 |             2.17
    7800 |             2.58
    7900 |             4.01
    8000 |            39.87
    8100 |            36.82
    8200 |            36.82
    8300 |            36.82
    8400 |            36.82
    8500 |            36.82
    8600 |            36.83
    8700 |            36.83
    8800 |            36.83
    8900 |            36.83
    9000 |            36.84
    9100 |            36.84
    9200 |            36.84
    9300 |            36.84
    9400 |            36.85
    9500 |            36.85
    9600 |            36.86
    9700 |            36.86
    9800 |            36.86
    9900 |            36.87
   10000 |            36.88
   10100 |            36.88
   10200 |            36.89
   10300 |            36.90
   10400 |            36.90
   10500 |            36.91
   10600 |            36.93
   10700 |            36.94
   10800 |            36.95
   10900 |            36.97
   11000 |            36.99
   11100 |            37.02
   11200 |            37.05
   11300 |            37.09
   11400 |            37.14
   11500 |            37.22
   11600 |            37.32
   11700 |            37.48
   11800 |            37.78
   11900 |            38.51
   12000 |            39.46
   12100 |            39.16
   12200 |            39.16
   12300 |            39.16
   12400 |            39.16
   12500 |            39.16
   12600 |            39.16
   12700 |            39.16
   12800 |            39.16
   12900 |            39.16
   13000 |            39.16
   13100 |            39.16
   13200 |            39.16
   13300 |            39.16


Kernel no. |     Execution Time (μs)
------------------------------------
         0 |                1711763
         1 |                    165
         2 |                     77
         3 |                     58
         4 |                     77
         5 |                     50
         6 |                     48
         7 |                     44
         8 |                     56
         9 |                     59
        10 |                     51
        11 |                     68
        12 |                     49
        13 |                     50
        14 |                     47
        15 |                     45
        16 |                     45
        17 |                     47
        18 |                     46
        19 |                     48
        20 |                     87
        21 |                     48
        22 |                     48
        23 |                     57
        24 |                     86
        25 |                     67
        26 |                     61
        27 |                     47
        28 |                     50
        29 |                     46
        30 |                     49
        31 |                     47
        32 |                     59
        33 |                     72
        34 |                     72
        35 |                     63
        36 |                     68
        37 |                     66
        38 |                     84
        39 |                     53
        40 |                     83
        41 |                     53
        42 |                     48
        43 |                     48
        44 |                     47
        45 |                     47
        46 |                     60
        47 |                     48
        48 |                     48
        49 |                     45
        50 |                     44
        51 |                     42
        52 |                    100
        53 |                     88
        54 |                     62
        55 |                     62
        56 |                     52
        57 |                     49
        58 |                    119
        59 |                     61
        60 |                     84
        61 |                     77
        62 |                     72
        63 |                     61
        64 |                     68
        65 |                     51
        66 |                     64
        67 |                     47
        68 |                     45
        69 |                     46
        70 |                     42
        71 |                     46
        72 |                     43
        73 |                     47
        74 |                     45
        75 |                     48
        76 |                     43
        77 |                     44
        78 |                     42
        79 |                     42
        80 |                     72
        81 |                     43
        82 |                     99
        83 |                     97
        84 |                     60
        85 |                     44
        86 |                     47
        87 |                     42
        88 |                     57
        89 |                     43
        90 |                     42
        91 |                     41
        92 |                     42
        93 |                     42
        94 |                     41
        95 |                     41
        96 |                     56
        97 |                     59
        98 |                     70
        99 |                     50
       100 |                     94
       101 |                     45
       102 |                     42
       103 |                     47
       104 |                     73
       105 |                     71
       106 |                     59
       107 |                     78
       108 |                     56
       109 |                     54
       110 |                     54
       111 |                     49
       112 |                     46
       113 |                     46
       114 |                     46
       115 |                     45
       116 |                     47
       117 |                     55
       118 |                     49
       119 |                     45
       120 |                     92
       121 |                     45
       122 |                     47
       123 |                     46
       124 |                     42
       125 |                     46
       126 |                     46
       127 |                     46
       128 |                     50
       129 |                     56
       130 |                     55
       131 |                     52
       132 |                     46
       133 |                     44
       134 |                     49
       135 |                     48
       136 |                     65
       137 |                     64
       138 |                     53
       139 |                     43
       140 |                     78
       141 |                     46
       142 |                     44
       143 |                     46
       144 |                     73
       145 |                     66
       146 |                     63
       147 |                     59
       148 |                     55
       149 |                     46
       150 |                     46
       151 |                     57
       152 |                     50
       153 |                     53
       154 |                     54
       155 |                     56
       156 |                     45
       157 |                     47
       158 |                     48
       159 |                     47
       160 |                     70
       161 |                     45
       162 |                     48
       163 |                     46
       164 |                     47
       165 |                     46
       166 |                     48
       167 |                     44
       168 |                     45
       169 |                     46
       170 |                     43
       171 |                     47
       172 |                     55
       173 |                     50
       174 |                     48
       175 |                     48
       176 |                     48
       177 |                     65
       178 |                     55
       179 |                     49
       180 |                     81
       181 |                     49
       182 |                     46
       183 |                     48
       184 |                     70
       185 |                     74
       186 |                     59
       187 |                     49
       188 |                     53
       189 |                     51
       190 |                     47
       191 |                     47
       192 |                     46
       193 |                     48
       194 |                     53
       195 |                     48
       196 |                     48
       197 |                     49
       198 |                     48
       199 |                     42
       200 |                     73
       201 |                     50
       202 |                     50
       203 |                     48
       204 |                     47
       205 |                     44
       206 |                     48
       207 |                     47
       208 |                     47
       209 |                     45
       210 |                     46
       211 |                     48
       212 |                     42
       213 |                     47
       214 |                     49
       215 |                     46
       216 |                     55
       217 |                     59
       218 |                     48
       219 |                     48
       220 |                     73
       221 |                     44
       222 |                     46
       223 |                     45
       224 |                     43
       225 |                     73
       226 |                     61
       227 |                     56
       228 |                     45
       229 |                     48
       230 |                     48
       231 |                     47
       232 |                     46
       233 |                     46
       234 |                     41
       235 |                     51
       236 |                     47
       237 |                     46
       238 |                     48
       239 |                     50
       240 |                    128
       241 |                     51
       242 |                     46
       243 |                     46
       244 |                     45
       245 |                     47
       246 |                     49
       247 |                     46
       248 |                     50
       249 |                     46
       250 |                     46
       251 |                     44
       252 |                     47
       253 |                     47
       254 |                     55
       255 |                     55
       256 |                     53
       257 |                     48
       258 |                     65
       259 |                     51
       260 |                     65
       261 |                     59
       262 |                     49
       263 |                     74
       264 |                     53
       265 |                     69
       266 |                     74
       267 |                     63
       268 |                     62
       269 |                     51
       270 |                     48
       271 |                     53
       272 |                     56
       273 |                     46
       274 |                     46
       275 |                     46
       276 |                     48
       277 |                     42
       278 |                     46
       279 |                     46
       280 |                     65
       281 |                     47
       282 |                     58
       283 |                     49
       284 |                     48
       285 |                     50
       286 |                     48
       287 |                     47
       288 |                     42
       289 |                     48
       290 |                     47
       291 |                     47
       292 |                     46
       293 |                     60
       294 |                     47
       295 |                     48
       296 |                     47
       297 |                     44
       298 |                     73
       299 |                     56
       300 |                     78
       301 |                     44
       302 |                     64
       303 |                     46
       304 |                     46
       305 |                     46
       306 |                     75
       307 |                     71
       308 |                     61
       309 |                     51
       310 |                     66
       311 |                     57
       312 |                     46
       313 |                     46
       314 |                     47
       315 |                     45
       316 |                     48
       317 |                     43
       318 |                     45
       319 |                     44
       320 |                     76
       321 |                     45
       322 |                     65
       323 |                     51
       324 |                     48
       325 |                     47
       326 |                     51
       327 |                     64
       328 |                     51
       329 |                     48
       330 |                     48
       331 |                     41
       332 |                     51
       333 |                     50
       334 |                     48
       335 |                     45
       336 |                     49
       337 |                     46
       338 |                     42
       339 |                     57
       340 |                     83
       341 |                     50
       342 |                     49
       343 |                     46
       344 |                     48
       345 |                     45
       346 |                     47
       347 |                     45
       348 |                     41
       349 |                     46
       350 |                     50
       351 |                     50
       352 |                     46
       353 |                     47
       354 |                     43
       355 |                     51
       356 |                     54
       357 |                     47
       358 |                     46
       359 |                     46
       360 |                     74
       361 |                     43
       362 |                     54
       363 |                     47
       364 |                     45
       365 |                     46
       366 |                     46
       367 |                     44
       368 |                     44
       369 |                     53
       370 |                     45
       371 |                     45
       372 |                     48
       373 |                     47
       374 |                     45
       375 |                     45
       376 |                     45
       377 |                     44
       378 |                     46
       379 |                     42
       380 |                     78
       381 |                     56
       382 |                     49
       383 |                     48
       384 |                     48
       385 |                     46
       386 |                     46
       387 |                     47
       388 |                     43
       389 |                     46
       390 |                     49
       391 |                     47
       392 |                     46
       393 |                     47
       394 |                     49
       395 |                     48
       396 |                     46
       397 |                     42
       398 |                     47
       399 |                     46
       400 |                     82
       401 |                     49
       402 |                     50
       403 |                     46
       404 |                     46
       405 |                     44
       406 |                     46
       407 |                     47
       408 |                     51
       409 |                     42
       410 |                     55
       411 |                     45
       412 |                     47
       413 |                     51
       414 |                     48
       415 |                     55
       416 |                     48
       417 |                     55
       418 |                     60
       419 |                     47
       420 |                     82
       421 |                     46
       422 |                     47
       423 |                     56
       424 |                     45
       425 |                     42
       426 |                     42
       427 |                     44
       428 |                     42
       429 |                     47
       430 |                     43
       431 |                     46
       432 |                     46
       433 |                     42
       434 |                     46
       435 |                     46
       436 |                     44
       437 |                     47
       438 |                     53
       439 |                     57
       440 |                     89
       441 |                     46
       442 |                     45
       443 |                     44
       444 |                     45
       445 |                     45
       446 |                     41
       447 |                     47
       448 |                     43
       449 |                     51
       450 |                     43
       451 |                     44
       452 |                     48
       453 |                     45
       454 |                     45
       455 |                     52
       456 |                     53
       457 |                     50
       458 |                     50
       459 |                     49
       460 |                     88
       461 |                     58
       462 |                     52
       463 |                     48
       464 |                     46
       465 |                     62
       466 |                     50
       467 |                     47
       468 |                     48
       469 |                     44
       470 |                     44
       471 |                     44
       472 |                     45
       473 |                     44
       474 |                     55
       475 |                     54
       476 |                     44
       477 |                     47
       478 |                     89
       479 |                     51
       480 |                     65
       481 |                     44
       482 |                     56
       483 |                     42
       484 |                     46
       485 |                     44
       486 |                     44
       487 |                     46
       488 |                     42
       489 |                     43
       490 |                     44
       491 |                     43
       492 |                     43
       493 |                     42
       494 |                     54
       495 |                     47
       496 |                     44
       497 |                     44
       498 |                     44
       499 |                     43
       500 |                     62
       501 |                     44
       502 |                     44
       503 |                     42
       504 |                     47
       505 |                     42
       506 |                     43
       507 |                     41
       508 |                     41
       509 |                     44
       510 |                     42
       511 |                     43
       512 |                     42
       513 |                     58
       514 |                     45
       515 |                     48
       516 |                     43
       517 |                     43
       518 |                     44
       519 |                     44
       520 |                     76
       521 |                     46
       522 |                     60
       523 |                     47
       524 |                     44
       525 |                     44
       526 |                     42
       527 |                     44
       528 |                     42
       529 |                     43
       530 |                     42
       531 |                     44
       532 |                     41
       533 |                     44
       534 |                     47
       535 |                     45
       536 |                     44
       537 |                     45
